SquareFeet,Bedrooms,Bathrooms,Neighborhood,YearBuilt,Price,PricePerSqft,PropertyAge,ListingCategory
2126,4,1,Rural,1969,215355.2836,101.3,56,Mid-Range
2459,3,2,Rural,1980,195014.2216,79.31,45,Mid-Range
1860,2,1,Suburb,1970,306891.0121,165,55,High-End
2294,2,1,Urban,1996,206786.7872,90.14,29,Mid-Range
2130,5,2,Suburb,2001,272436.2391,127.9,24,High-End
2095,2,3,Suburb,2020,198208.8039,94.61,5,Mid-Range
2724,2,1,Suburb,1993,343429.3191,126.08,32,High-End
2044,4,3,Rural,1957,184992.3213,90.51,68,Budget
2638,4,3,Urban,1959,377998.5882,143.29,66,High-End
1121,5,2,Urban,2004,95961.92601,85.6,21,Budget
1466,5,3,Suburb,1951,191113.7687,130.36,74,Mid-Range
2238,3,3,Suburb,1987,253358.645,113.21,38,Mid-Range
1330,2,2,Suburb,1992,132172.3926,99.38,33,Budget
2482,4,3,Suburb,1989,231157.0277,93.13,36,Mid-Range
1087,4,1,Urban,1976,118393.8232,108.92,49,Budget
2396,2,2,Suburb,1993,267377.3997,111.59,32,High-End
2123,5,2,Rural,1956,190773.1486,89.86,69,Mid-Range
1871,4,2,Suburb,1977,172989.8049,92.46,48,Budget
2687,5,1,Urban,1979,239222.6678,89.03,46,Mid-Range
1130,4,3,Rural,1962,143050.2018,126.59,63,Budget
2685,4,3,Urban,1999,405523.8283,151.03,26,High-End
2332,3,3,Rural,1978,263954.1541,113.19,47,High-End
1769,4,1,Suburb,1963,148310.6202,83.84,62,Budget
1343,2,3,Rural,2013,151733.9225,112.98,12,Budget
2515,2,3,Urban,2013,307961.1074,122.45,12,High-End
2437,2,1,Rural,2004,276162.8618,113.32,21,High-End
1805,5,1,Rural,2002,243985.2055,135.17,23,Mid-Range
1385,4,3,Rural,1996,88030.54185,63.56,29,Budget
2215,5,1,Urban,1952,282908.9817,127.72,73,High-End
1955,3,1,Rural,2014,240976.5518,123.26,11,Mid-Range
1276,4,1,Rural,1965,104747.3346,82.09,60,Budget
2184,2,2,Suburb,1959,347207.3896,158.98,66,High-End
1459,3,2,Rural,2006,77493.93144,53.11,19,Budget
2337,3,3,Suburb,2008,331851.0817,142,17,High-End
1021,4,3,Rural,2013,110408.6708,108.14,12,Budget
1252,2,1,Urban,1993,127932.7568,102.18,32,Budget
1747,5,3,Rural,1982,228683.227,130.9,43,Mid-Range
1856,4,2,Rural,1959,124711.7079,67.19,66,Budget
2584,2,3,Suburb,2001,415850.7708,160.93,24,High-End
1474,3,3,Urban,1959,184819.9612,125.39,66,Budget
2082,4,2,Suburb,1966,164855.9878,79.18,59,Budget
1510,3,2,Suburb,2002,156928.0147,103.93,23,Budget
2705,2,1,Urban,1971,282457.8614,104.42,54,High-End
2499,5,1,Urban,2021,287591.6728,115.08,4,High-End
1699,5,1,Rural,1960,156313.5942,92,65,Budget
1975,3,3,Suburb,2016,279764.371,141.65,9,High-End
2806,3,3,Suburb,1962,366494.4806,130.61,63,High-End
1189,3,3,Urban,2007,244539.2817,205.67,18,Mid-Range
1957,4,2,Rural,1994,239299.9945,122.28,31,Mid-Range
1686,2,3,Urban,1994,249148.3447,147.77,31,Mid-Range
1957,3,2,Rural,1992,304197.5798,155.44,33,High-End
1562,3,3,Rural,2013,89378.55062,57.22,12,Budget
2899,3,3,Rural,1988,427295.4046,147.39,37,High-End
2590,5,2,Suburb,1957,328501.8015,126.83,68,High-End
2267,3,2,Urban,1989,215867.419,95.22,36,Mid-Range
1831,2,2,Rural,2000,190058.8929,103.8,25,Mid-Range
2528,5,1,Urban,1969,259751.1544,102.75,56,Mid-Range
2154,2,1,Rural,2015,166810.3887,77.44,10,Budget
2508,5,3,Suburb,2007,352932.1625,140.72,18,High-End
2842,5,3,Urban,2014,422042.9185,148.5,11,High-End
1646,4,3,Suburb,1994,91423.61965,55.54,31,Budget
1020,5,1,Rural,1983,220053.8604,215.74,42,Mid-Range
1840,5,3,Suburb,1961,216148.2085,117.47,64,Mid-Range
1166,2,2,Suburb,1972,161587.1537,138.58,53,Budget
2297,2,2,Urban,2017,194967.9095,84.88,8,Mid-Range
1387,3,1,Rural,2002,152828.7203,110.19,23,Budget
1600,4,2,Rural,2002,256725.9809,160.45,23,Mid-Range
1315,5,2,Suburb,1989,98039.3031,74.55,36,Budget
1013,4,3,Urban,2002,164858.1869,162.74,23,Budget
1241,3,2,Urban,1985,199373.1821,160.66,40,Mid-Range
1776,4,2,Urban,2014,181245.4467,102.05,11,Budget
2369,5,1,Suburb,1963,209700.7185,88.52,62,Mid-Range
1564,2,2,Rural,1983,163053.3921,104.25,42,Budget
1897,4,2,Rural,1975,304004.6899,160.26,50,High-End
2363,5,3,Urban,2004,308830.9397,130.69,21,High-End
1091,3,3,Urban,2012,194294.0018,178.09,13,Mid-Range
2390,5,3,Urban,2019,172777.3198,72.29,6,Budget
1955,4,1,Suburb,1995,197656.0703,101.1,30,Mid-Range
2478,5,3,Urban,1986,273365.4991,110.32,39,High-End
2451,5,2,Rural,1972,216047.2181,88.15,53,Mid-Range
1508,4,1,Urban,1965,149586.1531,99.2,60,Budget
1775,4,2,Suburb,1981,214171.0822,120.66,44,Mid-Range
2966,3,2,Rural,1956,277419.0002,93.53,69,High-End
1034,5,3,Rural,1993,117295.3752,113.44,32,Budget
1205,2,1,Urban,1996,180760.8675,150.01,29,Budget
2104,4,1,Suburb,1954,202715.1601,96.35,71,Mid-Range
2955,5,3,Rural,2012,378403.571,128.06,13,High-End
2585,2,1,Suburb,1961,257776.0924,99.72,64,Mid-Range
2895,2,2,Suburb,2021,266046.8779,91.9,4,High-End
2411,5,1,Rural,1958,337645.6762,140.04,67,High-End
2025,5,2,Rural,1993,240145.9703,118.59,32,Mid-Range
2021,5,1,Suburb,1971,92641.62211,45.84,54,Budget
2413,2,1,Urban,1995,152037.8828,63.01,30,Budget
1565,5,3,Rural,1957,149848.6164,95.75,68,Budget
2129,4,3,Urban,2005,220384.4345,103.52,20,Mid-Range
2795,2,1,Rural,1977,305658.5639,109.36,48,High-End
2845,4,2,Urban,1996,318297.2566,111.88,29,High-End
2500,4,3,Rural,1984,230749.2763,92.3,41,Mid-Range
1702,5,3,Urban,1970,201925.8409,118.64,55,Mid-Range
1401,4,3,Suburb,1982,149576.6811,106.76,43,Budget
1729,5,1,Rural,2019,171877.0663,99.41,6,Budget
